 2016-12-31 15:11:58,937 [P7960/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.6 application starting on SCHWEENEH-PC
 2016-12-31 15:11:58,982 [P7960/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2016-12-31 15:11:59,011 [P7960/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 28ms)
 2016-12-31 15:11:59,168 [P7960/D2/T1] INFO  Umbraco.Core.MainDom - Acquiring MainDom...
 2016-12-31 15:11:59,169 [P7960/D2/T1] INFO  Umbraco.Core.MainDom - Acquired MainDom.
 2016-12-31 15:11:59,176 [P7960/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2016-12-31 15:12:00,417 [P7960/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 1241ms)
 2016-12-31 15:12:00,958 [P7960/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2016-12-31 15:12:00,959 [P7960/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 1ms)
 2016-12-31 15:12:00,959 [P7960/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2016-12-31 15:12:00,961 [P7960/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 1ms)
 2016-12-31 15:12:00,975 [P7960/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2016-12-31 15:12:00,976 [P7960/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 1ms)
